,fit_time,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel
39,[115.6543622  115.92825317 114.62719822 115.06718707  58.05034995],[69.15653944 69.11588192 68.94699097 68.96545076 33.64517808],[0.21714286 0.17142857 0.18514286 0.19542857 0.19657143],[0.16043261 0.09278561 0.12005339 0.15715671 0.14646513],[0.37383028 0.35340035 0.35967511 0.35653523 0.38835045],[0.21714286 0.17142857 0.18514286 0.19542857 0.19657143],100,3.0,1e-06,poly
40,[115.66014433 115.24106765 115.6228981  115.6530962   60.91123891],[67.91681027 67.82625294 67.45734239 67.63983107 34.63647461],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],1,,0.0001,sigmoid
41,[116.07021189 115.35595179 115.09299397 115.19389439  60.98972845],[69.06995702 69.32498002 69.64192295 69.08867598 35.03956199],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],1,,1e-05,sigmoid
42,[120.07350993 114.90601611 119.23412943 116.87594008  61.35731125],[66.81478763 67.72630906 66.6641891  67.74571466 34.57774687],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],1,,1e-06,sigmoid
43,[115.63660598 115.81355929 116.06093597 115.74864173  63.63140225],[68.69554353 68.82302737 68.77385807 68.73924112 34.53095841],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],10,,0.0001,sigmoid
44,[115.52541256 116.17513418 115.02543855 116.4605751   61.51473355],[69.15064716 69.32290244 69.01343131 69.26892614 34.50304508],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],10,,1e-05,sigmoid
45,[115.6653223  116.04229665 116.35027504 116.62380099  61.88277745],[68.60343671 68.75920963 68.89626241 68.78823686 34.48316646],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],10,,1e-06,sigmoid
46,[116.64012718 117.52380991 116.63858438 116.68581915  64.3250339 ],[71.66162515 71.03759885 70.19616222 70.14343238 34.51655078],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],50,,0.0001,sigmoid
47,[116.13562179 116.41474509 116.04524946 116.79939365  61.6701746 ],[68.95040894 68.8462441  68.82895398 68.82063603 34.58836222],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],50,,1e-05,sigmoid
48,[116.45001531 116.9298079  116.51777101 117.09366107  65.13303137],[68.59565067 68.6482985  68.86167765 68.57708836 34.49615145],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],50,,1e-06,sigmoid
49,[115.84639978 116.07770777 115.9517951  115.35778642  61.50288105],[69.19956207 69.01631379 68.88455606 68.77578878 34.50960326],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],100,,0.0001,sigmoid
50,[115.48299527 116.46883297 116.17285085 116.91343164  61.10542631],[68.43069124 68.70362639 68.7716465  68.59892654 34.50009108],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],100,,1e-05,sigmoid
51,[115.85055327 116.04131699 116.19935298 116.60296345  60.80864573],[69.2642107  68.48554969 68.72154403 68.25531745 34.49150276],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],[0.24686653 0.19094212 0.21008514 0.24113688 0.23758459],[0.34412974 0.31408452 0.35646143 0.35945474 0.37289058],[0.25828571 0.20914286 0.22285714 0.24       0.25257143],100,,1e-06,sigmoid
