,fit_time,score_time,test_accuracy,test_f1_macro,test_precision_macro,test_recall_macro,c,degree,gamma,kernel,,F1SCORE
15,[48.52795124 52.83975816 57.03428197 54.32025528 32.21823406],[42.56130672 43.3328948  42.37655091 43.01214552 19.03422117],[0.70171429 0.72228571 0.752      0.74857143 0.73485714],[0.70656209 0.72463052 0.75571576 0.74868642 0.73429377],[0.7141847  0.73117506 0.76333358 0.75220601 0.73539857],[0.70171429 0.72228571 0.752      0.74857143 0.73485714],100,,,linear,,
16,[36.50701237 38.22772384 38.97888756 38.9277432  18.07274914],[39.41318655 40.28569722 38.1863718  39.86054826 15.89602041],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],[0.75060633 0.76102019 0.77062937 0.77090804 0.75499097],[0.75445515 0.76995484 0.77781271 0.77277972 0.75449398],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],1,2,"0,0001",poly,,
17,[25.61146736 26.64306426 28.29130411 28.73525023 17.03238297],[30.95746303 31.98415518 32.01207447 31.65583682 16.02076221],[0.752      0.76342857 0.776      0.78171429 0.76685714],[0.75480347 0.76727518 0.77972383 0.78102791 0.76525827],[0.76007114 0.77690489 0.78769248 0.78290622 0.76462783],[0.752      0.76342857 0.776      0.78171429 0.76685714],1,3,"0,0001",poly,,
18,[26.78091693 28.58228517 29.37752795 28.93772578 17.97396398],[31.49360466 31.78599858 31.82653427 31.74179673 15.84062862],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],[0.74945465 0.76102019 0.77062937 0.77090804 0.75499097],[0.75329537 0.76995484 0.77781271 0.77277972 0.75449398],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],1,2,1E-05,poly,,
19,[25.64042044 27.21021247 28.01337767 27.98169398 16.96837664],[31.17489767 32.41528606 31.68144584 31.5036304  16.43319535],[0.752      0.76342857 0.776      0.78171429 0.76571429],[0.75480347 0.76727518 0.77972383 0.78102791 0.76402856],[0.76007114 0.77690489 0.78769248 0.78290622 0.76344613],[0.752      0.76342857 0.776      0.78171429 0.76571429],1,3,1E-05,poly,,
20,[26.73676777 27.26401472 24.06389093 27.5577004  13.24104691],[34.85326457 35.13961816 37.17124271 35.35826087 16.48264194],[0.76571429 0.79428571 0.81714286 0.81257143 0.78742857],[0.76810278 0.79464403 0.8188869  0.81123332 0.7868622 ],[0.77408322 0.79772641 0.82351425 0.81216091 0.78887006],[0.76571429 0.79428571 0.81714286 0.81257143 0.78742857],1,2,1E-06,poly,,0.79
21,[26.24094892 26.52627516 27.83601904 27.36084032 15.28928018],[32.15522623 31.48422074 31.32574368 31.97524047 16.734483  ],[0.76342857 0.768      0.784      0.784      0.76114286],[0.76592494 0.77187262 0.78780919 0.78306548 0.76160029],[0.77100805 0.78069345 0.79541289 0.78494624 0.76386228],[0.76342857 0.768      0.784      0.784      0.76114286],1,3,1E-06,poly,,
22,[28.60111761 32.23352909 32.34356022 31.87208557 18.81532025],[30.97195435 31.55060291 32.2015872  31.72948718 16.64206505],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],[0.75060633 0.76102019 0.77062937 0.77090804 0.75499097],[0.75445515 0.76995484 0.77781271 0.77277972 0.75449398],[0.74857143 0.75657143 0.76685714 0.77142857 0.75657143],10,2,"0,0001",poly,,
23,[38.17735076 38.79039574 41.01078725 41.00983286 17.41628146],[35.20538402 37.56146288 36.59448481 35.46806955 15.96766114],[0.752      0.76342857 0.776      0.78171429 0.76685714],[0.75480347 0.76727518 0.77972383 0.78102791 0.76525827],[0.76007114 0.77690489 0.78769248 0.78290622 0.76462783],[0.752      0.76342857 0.776      0.78171429 0.76685714],10,3,"0,0001",poly,,
24,[26.26220727 27.77282262 29.06061554 30.00921416 18.43552351],[30.68017864 31.62827587 31.20792437 31.60758567 16.88015199],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],[0.74945465 0.76102019 0.77062937 0.77090804 0.75499097],[0.75329537 0.76995484 0.77781271 0.77277972 0.75449398],[0.74742857 0.75657143 0.76685714 0.77142857 0.75657143],10,2,1E-05,poly,,
